Name,State,established,Area
Anamudi Shola National Park,Kerala,2003,7.5
Anshi National Park,Karnataka,1987,417.34
Balphakram National Park,Meghalaya,1986,220
Bandhavgarh National Park,Madhya Pradesh,1968,446
Bandipur National Park,Karnataka,1974,874.2
Bannerghatta National Park,Karnataka,1986,104.3
Betla National Park,Jharkhand,1986,1135
Bhitarkanika National Park,Odisha,1988,145
Bison (Rajbari) National Park,Tripura,2007,31.63
Blackbuck National Park,Gujarat,1976,34.08
Buxa Tiger Reserve,West Bengal,1992,760
Campbell Bay National Park India,Andaman and Nicobar Islands,1992,426.23
Chandoli National Park,Maharashtra,2004,317.67
Clouded Leopard National Park,Tripura,2003,5.08
Dachigam National Park,Jammu and Kashmir,1981,141
Desert National Park Rajasthan,Rajasthan,1980,3162
Dibru-Saikhowa National Park,Assam,1999,340
Dudhwa National Park,Uttar Pradesh,1977,490.29
Eravikulam National Park,Kerala,1978,97
Galathea National Park,Andaman and Nicobar Islands,1992,110
Gangotri National Park,Uttarakhand,1989,2390
Gir Forest National Park,Gujarat,1965,1412
Gorumara National Park,West Bengal,1994,79.45
Govind Pashu Vihar Wildlife Sanctuary,Uttarakhand,1990,472.08
Great Himalayan National Park,Himachal Pradesh,,
Mathikettan Shola National Park,Kerala,2003,12.82
Middle Button Island National Park,Andaman and Nicobar Islands,1987,44
Mollem National Park,Goa,1978,107
Mouling National Park,Arunachal Pradesh,1986,483
Mount Abu Wildlife Sanctuary,Rajasthan,1960,288.84
Mount Harriet National Park,Andaman and Nicobar Islands,1987,46.62
Mrugavani National Park,Telangana,1994,3.6
Mudumalai National Park,Tamil Nadu,1940,321.55
Mukundra Hills National Park,Rajasthan,2006,200.54
Mukurthi National Park,Tamil Nadu,2001,78.46
Murlen National Park,Mizoram,1991,100
Nagarhole National Park,Karnataka,1988,643.39
Namdapha National Park,Arunachal Pradesh,1974,1985.24
Nameri National Park,Assam,1978,137.07
Nanda Devi National Park,Uttarakhand,1982,630.33
Navegaon National Park,Maharashtra,1975,133.88
Neora Valley National Park,West Bengal,1986,88
Nokrek National Park,Meghalaya,1986,47.48
North Button Island National Park,Andaman and Nicobar Islands,1979,0.44
Ntangki National Park,Nagaland,1993,202.02
Orang National Park,Assam,1999,78.81
Pambadum Shola National Park,Kerala,2003,1.32
Panna National Park,Madhya Pradesh,1981,542.67
Papikonda National Park,Andhra Pradesh,2008,1012.85
Pench National Park[3],Madhya Pradesh,1977,758
Periyar National Park,Kerala,1982,305
Phawngpui Blue Mountain National Park,Mizoram,1992,50
Pin Valley National Park,Himachal Pradesh,1987,807.36
Rajaji National Park,Uttarakhand,1983,820
Rani Jhansi Marine National Park,Andaman and Nicobar Islands,1996,256.14
Ranthambore National Park,Rajasthan,1981,392
Saddle Peak National Park,Andaman and Nicobar Islands,1979,32.54
Salim Ali National Park,Jammu and Kashmir,1992,9.07
Sanjay National Park,Madhya Pradesh,1981,466.7
Sanjay Gandhi National Park,Maharashtra,1969,104
Sariska Tiger Reserve,Rajasthan,1955,866
Satpura National Park,Madhya Pradesh,1981,524
Silent Valley National Park,Kerala,1980,237
Simbalbara National Park,Himachal Pradesh,2010,27.88
Sirohi National Park,Manipur,1982,41.3
Simlipal National Park,Odisha,1980,2750
Singalila National Park,West Bengal,1986,78.6
South Button Island National Park,Andaman and Nicobar Islands,1987,0.03
Sri Venkateswara National Park,Andhra Pradesh,1989,353
Sultanpur National Park,Haryana,1989,1.43
Sundarbans National Park,West Bengal,1984,1330.12
Tadoba National Park,Maharashtra,1955,625
Valley of Flowers National Park,Uttarakhand,1982,87.5
Valmiki National Park,Bihar,1976,898.45
Vansda National Park,Gujarat,1979,23.99
Van Vihar National Park,Madhya Pradesh,1983,4.48
Red Fort,Delhi,,
Humayun's Tomb, Delhi,,
Qutb Minar and its Monuments, Delhi,,
Goa,Goa,,
Group of Monuments at Pattadakal,Pattadakal,,
Khajuraho Group of Monuments,,,
Group of Monuments at Hampi,,,
Ajanta Caves,,,
Ellora Caves,,,
Elephanta Caves,,,
Sun Temple Konark,Konark,,
Hill Forts of Rajasthan,,,
Group of Monuments at Mahabalipuram,,,
Great Living Chola Temples,,,
Agra Fort,Agra,,
Taj Mahal,Agra,,
Fatehpur Sikri,,,
Nanda Devi and Valley of Flowers National Parks  ,,,
Kaziranga National Park,,,
Manas Wildlife Sanctuary,,,
Keoladeo National Park,,,
Sundarbans National Park,,,
Buddhist Monuments at Sanchi,,,
Rani-ki-Vav (the Queenês Stepwell) at Patan, Gujarat,,
Rock Shelters of Bhimbetka,,,
Mountain Railways of India,,,
Chhatrapati Shivaji Terminus (formerly Victoria Terminus),,,
Mahabodhi Temple Complex at Bodh Gaya,,,
Champaner-Pavagadh Archaeological Park,,,
The Jantar Mantar, Jaipur,,
Western Ghats,,,
Great Himalayan National Park Conservation Area,,,
Nalanda University, Bihar,,
Khangchendzonga National Park,,,
Historic City of Ahmadabad,,,
