lat,lon,place

14.9980998, 74.35874729999999, 'Anshi National Park'

23.722454, 81.024219, 'Bandhavgarh National Park'
11.7584052, 76.4453743, 'Bandipur National Park'
12.800285, 77.5770474, 'Bannerghatta National Park'
23.8856486, 84.1923982, 'Betla National Park'
20.7181031, 86.8200488, 'Bhitarkanika National Park'
26.328146, 89.4386978, 'Bison (Rajbari) National Park'
22.0441079, 72.0202813, 'Blackbuck National Park'

36.5867894, -84.1402844, 'Campbell Bay National Park India'
17.1261096, 73.8593072, 'Chandoli National Park'

34.1371835, 75.0377501, 'Dachigam National Park'

27.6690334, 95.36255159999999, 'Dibru-Saikhowa National Park'
28.4916763, 80.646525, 'Dudhwa National Park'


30.94260389999999, 79.1548533, 'Gangotri National Park'

26.7563574, 88.79747929999999, 'Gorumara National Park'

31.7050266, 77.570167, 'Great Himalayan National Park'


15.3777904, 74.2267367, 'Mollem National Park'

24.6201163, 72.7253358, 'Mount Abu Wildlife Sanctuary'


11.5622767, 76.53452209999999, 'Mudumalai National Park'

11.1552269, 76.48211049999999, 'Mukurthi National Park'


27.4454717, 96.5358093, 'Namdapha National Park'
26.9324008, 92.8772163, 'Nameri National Park'
30.6587637, 79.8386542, 'Nanda Devi National Park'
20.9755673, 80.1651854, 'Navegaon National Park'
27.0824496, 88.7006888, 'Neora Valley National Park'
25.447504, 90.42859279999999, 'Nokrek National Park'
12.3174458, 93.0712473, 'North Button Island National Park'



24.5904659, 79.9416518, 'Panna National Park'

21.7629527, 79.33911300000001, 'Pench National Park3'
9.462155000000001, 77.23684740000002, 'Periyar National Park'


29.9917323, 78.2896423, 'Rajaji National Park'

26.0173274, 76.5025742, 'Ranthambore National Park'


23.8678276, 82.06250519999999, 'Sanjay National Park'

27.3284906, 76.4331698, 'Sariska Tiger Reserve'

11.064129, 76.53781599999999, 'Silent Valley National Park'
30.4394981, 77.4728394, 'Simbalbara National Park'


27.0371351, 88.0762233, 'Singalila National Park'




20.2483827, 79.360689, 'Tadoba National Park'
30.72804, 79.605303, 'Valley of Flowers National Park'

20.7638321, 73.4860941, 'Vansda National Park'



28.5244281, 77.1854559, 'Qutb Minar and its Monuments'
15.2993265, 74.12399599999999, 'Goa'
15.9488181, 75.8163521, 'Group of Monuments at Pattadakal'



20.0267792, 75.1771289, 'Ellora Caves'
18.9633474, 72.9314864, 'Elephanta Caves'
19.8875953, 86.0945364, 'Sun Temple Konark'



27.1795328, 78.021112, 'Agra Fort'
27.1750151, 78.0421552, 'Taj Mahal'
27.0945291, 77.6679292, 'Fatehpur Sikri'


26.6908579, 91.170817, 'Manas Wildlife Sanctuary'
27.159269, 77.5231999, 'Keoladeo National Park'
21.8379758, 88.8851988, 'Sundarbans National Park'
23.4793743, 77.7396681, 'Buddhist Monuments at Sanchi'

22.9395461, 77.61243309999999, 'Rock Shelters of Bhimbetka'


24.6959222, 84.99141929999999, 'Mahabodhi Temple Complex at Bodh Gaya'

26.924762, 75.82455999999999, 'The Jantar Mantar'
10.166667, 77.066667, 'Western Ghats'

40.0159667, -105.2073622, 'Nalanda University'

23.0237341, 72.58911309999999, 'Historic City of Ahmadabad'
